电影名称,主演演员
九品芝麻官,"['周星驰', '吴孟达', '张敏', '徐锦江']"
赌神,"['周润发', '刘德华', '王祖贤', '张敏']"
鹿鼎记,"['周星驰', '吴孟达', '张敏', '吴君如']"
鹿鼎记2：神龙教,"['周星驰', '邱淑贞', '林青霞', '李嘉欣', '陈百祥', '刘松仁', '温兆伦', '汤镇业']"
纵横四海,"['陶大宇', '杨恭如', '周海媚', '谭耀文', '叶德娴', '鲍起静', '田蕊妮']"
赌神2,"['周润发', '梁家辉', '吴倩莲']"
新少林五祖,"['李连杰', '谢苗', '邱淑贞', '叶德娴']"
百变星君,"['周星驰', '吴孟达', '梁咏琪', '孙佳君']"
赌侠,"['刘德华', '周星驰', '向华强', '张敏']"
倚天屠龙记之魔教教主,"['李连杰', '张敏', '邱淑贞', '黎姿']"
整蛊专家,"['刘德华', '周星驰', '关之琳', '邱淑贞']"
城市猎人,"['成龙', '王祖贤', '邱淑贞', '后藤久美子']"
笨小孩,"['叶德娴', '谭耀文', '关秀媚', '柯受良']"
赌侠2：上海滩赌圣,"['周星驰', '巩俐', '吕良伟', '向华强']"
小鱼儿与花无缺,"['谢霆锋', '张卫健', '袁泉', '范冰冰']"
超级学校霸王,"['张卫健', '郑伊健', '刘德华', '张学友', '郭富城', '任达华', '邱淑贞', '杨采妮']"
逃学威龙3之龙过鸡年,"['周星驰', '梅艳芳', '陈百祥', '周海媚']"
与龙共舞,"['刘德华', '张敏', '叶德娴', '张坚庭']"
鼠胆龙威,"['李连杰', '张学友', '邱淑贞', '曹查理']"
追男仔,"['林青霞', '张曼玉', '邱淑贞', '梁家辉']"
至尊无上,"['谭咏麟', '刘德华', '陈玉莲', '关之琳']"
追龙,"['甄子丹', '刘德华', '姜皓文', '郑则']"
黄飞鸿之铁鸡斗蜈蚣,"['李连杰', '张敏', '张卫健', '陈百祥']"
浴火凤凰,"['杨恭如', '余文乐', '方中信', '黄少祺']"
影城大亨,"['陶大宇', '刘嘉玲', '周海媚', '黎耀祥', '方中信', '张慧仪', '林伟', '龙方', '邹静']"
将计就计,"['刘德华', '梁家辉', '钟丽缇', '陈百祥', '何家驹', '黄光亮']"
龙在江湖,"['刘德华', '梁咏琪', '关秀媚', '方中信']"
新边缘人,"['张学友', '梁家辉', '张耀扬', '吴倩莲', '黎姿']"
千王之王2000,"['周星驰', '张家辉', '王晶', '吴君如']"
八大豪侠,"['黄秋生', '陈冠希', '刘松仁']"
情陷夜中环,"['叶璇', '谢贤', '黄浩然', '张文慈']"
赌神3之少年赌神,"['黎明', '袁咏仪', '陈小春', '梁咏琪']"
恋爱的天空,"['邱淑贞', '吴君如', '吴家丽', '钟丽缇']"
千王斗千霸,"['谢贤', '陈观泰', '黄锦荣', '汪禹', '黄杏秀']"
我爱罗兰度,"['陈百祥', '夏文汐', '王晶', '陈惠敏']"
A计划,"['张卫健', '谭耀文', '钟欣潼', '刘园园']"
精装追女仔,"['周润发', '张曼玉', '曾志伟', '冯淬帆', '陈百祥', '张敏']"
赌侠1999,"['刘德华', '朱茵', '张家辉', '高捷']"
Office有鬼,"['陈小春', '冯德伦', '莫文蔚', '舒淇']"
最佳损友,"['刘德华', '陈百祥', '冯淬帆', '邱淑贞']"
最佳损友闯情关,"['刘德华', '关之琳', ""郑裕玲''""]"
大上海,"['周润发', '黄晓明', '洪金宝']"
赌城大亨之新哥传奇,"['刘德华', '万梓良', '邱淑贞', '王祖贤']"
精装追女仔之2,"['刘德华', '陈百祥', '冯淬帆', '李美凤']"
青蛙王子,"['钟镇涛', '张曼玉', '关之琳', '钟楚红']"
惊天12小时,"['刘德华', '谭咏麟', '陈百祥', '曾志伟']"
黑白森林,"['黄秋生', '刘青云', '陈小春', '吴镇宇', '钟欣桐', '黄浩然', '张文慈', '谢贤']"
金钱帝国,"['梁家辉', '陈奕迅', '黄秋生']"
新英雄本色,"['郑伊健', '刘青云', '王敏德', '邱淑贞']"
新恋爱世纪,"['黎明', '刘嘉玲', '舒淇', '雷颂德', '李鞍']"
南斗官三斗北少爷,"['傅声', '陈百祥', '汪禹', '王龙威']"
赌城大亨II之至尊无敌,"['刘德华', '万梓良', '邱淑贞', '陈国新']"
运财智多星,"['袁咏仪', '陈百祥', '钟丽缇', '王敏']"
新楚留香,"['任贤齐', '林心如', '黎姿', '袁咏仪', '杨恭如', '林熙蕾', '陈法蓉', '万绮雯']"
赌侠大战拉斯维加斯,"['刘德华', '张家辉', '陈百祥', '林熙蕾', '郁芳', '万梓良', '李菲', '王晶', '南燕']"
神勇双妹唛,"[""郑裕玲''"", '张曼玉', '陈百祥']"
新扎师兄,"['陈冠希', '钟欣潼', '谢霆锋', '任达华']"
花心大少,"['钟楚红', '傅声', '谢贤', '陈百祥']"
绝桥智多星,"['李修贤', '王晶', '王祖贤', '龙方']"
武侠七公主,"['杨紫琼', '郑裕玲', '刘松仁', '张曼玉', '张敏', '吴君如', '关咏荷', '陈加玲']"
有情饮水饱,"['梁朝伟', '舒淇', '林家栋', '麦家琪']"
魔翡翠,"['刘德华', '陈百祥', '张敏', '莫少聪']"
鬼马飞人,"['钟楚红', '钟镇涛', '郑则仕', '夏文汐', '李丽珍', '王晶']"
求爱敢死队,"['张曼玉', '曾志伟', '王晶', '吴君如', '李美凤', '曾华倩']"
旺角监狱,"['张家辉', '廖启智', '鲍起静', '陈丽云']"
美丽传说2-星愿,"['陈炜', '陈法蓉', '应采儿', '孙耀威']"
荷里活有个大老千,"['郑则仕', '秦沛', '金燕玲', '李施嬅']"
专钓大鳄,"['刘德华', '万梓良', '吴君如', '张国强']"
珠光宝气,"['袁咏仪', '钟丽缇', '陈小春', '王敏德', '罗家英']"
撞邪先生,"['钟镇涛', '陈百祥', ""郑裕玲''""]"
雪山飞狐,"['聂远', '朱茵', '钟欣桐', '安以轩']"
逃学英雄传,"['郭富城', '张敏', '邱淑贞', '吴孟达']"
摩登仙履奇缘,"['张曼玉', '陈百祥', '王晶', '汪禹']"
猎魔者,"['狄龙', '汪禹', '余安安', '罗烈', '王龙威', '陈百祥', '高飞', '陈惠敏']"
精装追女仔2004,"['曾志伟', '余文乐', '杜汶泽']"
仁者黄飞鸿,"['张卫健', '陈炜', '文颂娴', '林子聪']"
黑马王子,"['刘德华', '张家辉', '李嘉欣', '关秀媚', '叶德娴', '于荣光', '林尚义']"
赌圣2：街头赌圣,"['葛民辉', '邱淑贞', '吴孟达', '释小龙']"
贼王之王,"['麦德罗', '汪禹', '谢贤', '陈观泰']"
我的野蛮同学,"['谢霆锋', '冯德伦', '容祖儿', '彭敬慈']"
黑白战场,"['余文乐', '曾志伟', '黄伊汶', '关秀媚']"
靓足100分,"['李嘉欣', '陈法蓉', '利智', '林俊贤']"
赢钱专家,"['王晶', '吴君如', '陈百祥', '邱淑贞']"
情迷大话王,"['黎明', '张柏芝', '吴孟达', '苑琼丹', '张达明']"
夜半无人尸语时,"['刘青云', '朱茵', '雷宇扬', '马德钟', '陈彦行', '罗兰']"
笑侠楚留香,"['郭富城', '邱淑贞', '张敏', '张智霖']"
雀圣2：自摸天后,"['应采儿', '尹子维', '李茏怡', '森美']"
提防老千,"['张家辉', '王晶', '陈炜', '張兆辉']"
雀圣,"['元华', '元秋', '郭晋安', '王晶']"
求爱上上签,"['刘嘉玲', '张柏芝', '朱茵', '蒙嘉慧']"
绝种好男人,"['任贤齐', '张柏芝', '李珊珊', '葛民辉']"
猛鬼爱情故事,"['谢婷婷', '周秀娜', '罗仲谦', '鲍起静']"
澳门风云,"['周润发', '谢霆锋', '杜汶泽', '景甜']"
百家乐翻天,"['杜汶泽', '薛凯琪', '罗家英', '朱咪咪']"
超级整蛊霸王,"['葛民辉', '朱茵', '陈百祥', '雷颂德']"
绝种铁金刚,"['梁家辉', '毛舜筠', '陈小春', '钟欣']"
瘦身,"['黄秋生', '邓萃雯', '应采儿']"
澳门风云2,"['周润发', '张家辉', '刘嘉玲', '余文乐']"
鬼眼刑警,"['方中信', '元华', '谷祖琳', '森美']"
风云天地,"['汪明荃', '刘恺威', '赵雅芝']"
