公司,经纬度
拉勾网,"116.307747,39.982128"
平安人寿,"121.666906,31.238157"
平安人寿,"121.666906,31.238157"
快手,"116.298440,40.053389"
字节跳动,"116.328708,39.971819"
跟谁学,"116.282935,40.048632"
字节跳动,"121.386878,31.168496"
拉勾网,"116.307747,39.982128"
百变大侦探,"116.500218,39.974830"
世纪佳缘,"116.406840,39.974358"
世纪佳缘,"116.406840,39.974358"
优车库,"114.045254,22.507374"
智器云,"116.143267,39.749144"
盛业恒泰投资,"116.454562,39.919894"
皮皮pipi,"114.425905,30.457603"
百变大侦探,"116.500218,39.974830"
italki,"121.457585,31.222057"
字节跳动,"116.328708,39.971819"
字节跳动,"121.386878,31.168496"
优车库,"114.045254,22.507374"
智器云,"116.143267,39.749144"
爱问医联,"113.952487,22.535129"
360os,"116.490798,39.982769"
盛业恒泰投资,"116.454812,39.920432"
成都玛尔斯科技有限公司,"104.121569,30.766476"
齐聚科技（原呱呱视频）,"116.422789,39.951490"
浙江盘石,"120.113116,30.336361"
人人都是产品经理,"113.943289,22.549041"
人人公司,"116.496989,39.976297"
DataStory,"121.512779,31.260278"
易观,"116.494885,39.978305"
皮皮pipi,"114.425905,30.457603"
浙江盘石,"120.113116,30.336361"
星尘游戏,"113.944830,22.537843"
久谦咨询,"121.437780,31.194983"
众标智能科技,"121.383389,31.228218"
italki,"121.457585,31.222057"
动视云科技,"116.383365,39.970538"
360os,"116.490798,39.982769"
字节跳动,"116.369044,39.979578"
字节跳动,"116.369044,39.979578"
絮淑科技,"nan,nan"
无添加,"113.327077,23.118269"
成都玛尔斯科技有限公司,"104.121569,30.766476"
360数科,"116.490707,39.982794"
字节跳动,"120.046052,30.289958"
字节跳动,"116.352742,40.013248"
懒人科技,"113.933883,22.518858"
齐聚科技（原呱呱视频）,"116.422789,39.951490"
51社保网,"116.453331,39.906452"
熵商科技（ENTROBUS）,"113.397243,23.045368"
浙江盘石,"120.113116,30.336361"
51社保网,"116.453331,39.906452"
玄关健康,"113.948979,22.555423"
Keep,"116.485583,39.989577"
智器云,"87.655755,43.973579"
蘑菇公司,"113.952439,22.535752"
么么直播,"121.374390,31.172123"
中创碳投,"118.905181,32.077561"
广州银行信用卡中心,"113.331348,23.131477"
联元智能科技,"121.414281,31.267330"
数美,"116.465953,40.021083"
新明珠集团,"113.014427,22.957851"
字节跳动,"120.046052,30.289958"
字节跳动,"116.352742,40.013248"
大箴（杭州）科技有限公司,"120.123016,30.330837"
上海睿民,"116.660498,40.162024"
思为软件,"113.942755,22.524562"
小帮规划,"116.488885,39.999056"
盈富斯,"113.401635,22.943766"
时代区块链,"113.945943,22.547741"
好未来,"116.365021,40.080539"
无糖信息,"106.558912,29.519501"
金山办公软件,"121.603788,31.202542"
联联科技,"104.066627,30.546375"
海豚传媒,"116.309715,39.855537"
糗事百科,"113.993578,22.993680"
字节跳动,"121.439140,31.190859"
字节跳动,"119.255320,26.061698"
华录超清文化,"113.314819,23.123832"
参数,"113.296581,23.123309"
Helens,"113.911537,22.486094"
蜻蜓FM,"121.531282,31.218106"
融360,"116.312978,39.979691"
蜻蜓FM,"121.532279,31.218323"
省钱快报,"116.397686,39.951999"
智运通,"116.323564,39.961117"
Shopee,"121.403990,31.164065"
汇数智通,"120.369899,30.303210"
老虎集团,"116.445958,39.970685"
云码通,"106.649094,26.618427"
盛业恒泰投资,"116.454562,39.919894"
小鹅（小鹅通）,"113.943289,22.549041"
泰康保险集团,"116.274875,40.098795"
京东数字科技,"116.564383,39.786038"
广东智源,"113.273895,23.143929"
瑛麒动漫,"121.450553,31.185347"
字节跳动,"113.314909,23.073535"
字节跳动,"116.352742,40.013248"
有咖互动,"116.432958,39.922368"
鲸灵数据,"116.469593,40.013024"
新浪网,"116.276407,40.041445"
萨摩耶数科,"121.562577,31.158200"
音娱时光,"116.352145,39.977555"
萨摩耶数科,"113.943289,22.549041"
音娱时光,"116.352145,39.977555"
萨摩耶数科,"113.943289,22.549041"
泉后优品,"113.306237,23.219348"
算话智能科技有限公司,"121.297302,31.189954"
音智达,"121.425311,31.219261"
爱奇艺,"116.313228,39.983752"
Shopee,"121.403990,31.164065"
有车以后,"113.291230,23.092899"
樊登读书,"121.407040,31.206768"
唱吧-玩音乐，就上唱吧！,"116.466485,39.995197"
换换优品,"113.951781,22.532157"
美团,"116.486622,40.008142"
知网,"106.688760,26.570062"
盈众控股集团,"117.984639,24.489221"
字节跳动,"104.064492,30.543565"
字节跳动,"104.064492,30.543565"
字节跳动,"116.369044,39.979578"
嘉谊互娱,"104.044523,30.546486"
云启星辰,"113.936407,22.522776"
嗨学网,"104.094655,30.670286"
Convert lab,"121.432486,31.196247"
莉莉丝游戏,"121.392259,31.170277"
深圳市沃客非凡科技有限公司,"114.089586,22.544035"
大宇宙,"121.457579,31.225309"
贝壳,"116.305559,40.040145"
数美,"116.465953,40.021083"
微博,"120.119823,30.335525"
星石悦文,"104.091140,30.647160"
京东数字科技,"116.564383,39.786038"
字节跳动,"104.047534,30.581175"
京东数字科技,"116.564383,39.786038"
卡车之家,"116.538660,39.910210"
比心陪练,"121.399448,31.165362"
上海浩宜信息科技有限公司,"113.350663,23.118979"
小红书,"116.601144,39.948574"
乐易网络,"113.946915,22.544901"
尚德机构,"116.469157,40.019962"
得物App,"121.530215,31.272333"
如祺出行,"113.335173,23.106371"
完美世界,"116.423242,40.003347"
DataHunter,"116.334661,39.987243"
阿卡索外教网,"114.106928,22.558503"
字节跳动,"104.047534,30.581175"
字节跳动,"116.585137,39.910662"
杭州布谷科技有限责任公司,"120.003524,30.281375"
字节跳动,"113.888021,22.548721"
杭州布谷科技有限责任公司,"120.003524,30.281375"
网营科技,"120.068592,30.291030"
广发银行信用卡中心,"113.323343,23.119929"
爱问科技,"113.954518,22.539456"
本木医疗,"116.449843,39.919553"
NEXA,"104.084896,30.650513"
泰康在线,"116.272152,40.097801"
汇数智通,"120.369899,30.303210"
一面数据,"113.944830,22.537843"
新娱加传媒,"113.450281,23.099310"
上海唯都,"116.459360,39.955710"
联合飞创,"106.517270,29.610123"
字节跳动,"116.352742,40.013248"
字节跳动,"116.369044,39.979578"
联合飞创,"106.517270,29.610123"
达达集团,"121.515042,31.229046"
智品网络,"113.369895,23.117200"
掌门集团,"121.544379,31.221517"
佰聆数据,"106.558284,29.586453"
佰聆数据,"113.306881,23.131719"
映客直播,"113.321230,23.105685"
东莞美宜佳,"113.745011,23.024888"
玩吧,"116.436939,39.940498"
东莞美宜佳,"113.401953,23.125401"
联通大数据,"116.419344,39.952516"
华云中盛,"113.937732,22.545362"
永安在线,"113.946011,22.545669"
中佳兴证,"104.070326,30.659006"
数位科技,"113.945196,22.516477"
闪送,"116.305849,40.043285"
完美世界,"116.423242,40.003347"
土豆雅思,"116.465953,40.021082"
讯汇科技,"113.327728,23.120030"
北京中经惠众科技有限公司,"104.063214,30.581234"
花生日记,"113.384824,23.101343"
字节跳动,"108.946404,34.267258"
字节跳动,"112.545526,37.796590"
纵游互娱,"113.377014,23.125239"
最右,"116.368056,39.980092"
有品 PICOOC,"113.915440,22.491697"
火币网,"113.951610,22.542797"
闪送,"116.305849,40.043285"
知网,"116.355789,40.048024"
开思时代,"114.068214,22.630206"
开思时代,"114.068214,22.630206"
微财数科,"116.286250,40.207746"
VHS 好人生,"121.417920,31.217560"
VHS 好人生,"121.417920,31.217560"
信永中和,"116.435465,39.930762"
北银消费,"116.317222,39.981363"
FOTILE方太,"121.316810,30.314539"
火币网,"116.284706,40.049953"
汇信科技,"120.154433,30.275352"
绝味食品,"113.018920,28.209023"
幸福消费金融,"116.460635,39.896710"
联邦车网,"113.382897,23.094888"
KLOOK 客路旅行,"114.030246,22.533416"
婚礼纪,"120.112550,30.287650"
方纬科技,"118.226158,33.956493"
快手,"116.407526,39.904030"
拉勾网,"116.307747,39.982128"
拉勾网,"116.307747,39.982128"
云汉芯城,"121.325026,31.093229"
美团,"116.487760,40.008007"
百布,"113.327504,23.077989"
美团,"121.375077,31.218123"
百度,"nan,nan"
阿卡索外教网,"114.121301,22.540801"
跟谁学,"116.282935,40.048632"
莉莉丝游戏,"121.395334,31.160489"
东家,"120.041460,30.285820"
51Talk 无忧英语,"116.308144,40.045415"
土巴兔,"nan,nan"
联合金科信息科技有限公司,"113.939962,22.506695"
快手,"116.313599,40.053902"
吉比特,"113.972780,22.556001"
萌牙家,"121.554199,29.817087"
得物App,"121.530215,31.272333"
平安金服,"121.381215,31.220724"
平安金服,"114.107636,22.540466"
国誉信睿,"120.210146,30.204540"
汉跃文化传媒,"121.478495,31.206605"
上海银科创展投资集团有限公司,"121.530276,31.221890"
行云网,"120.246619,30.244956"
樊登读书,"121.407040,31.206768"
易观,"121.428240,31.217541"
北京盛业联众资产管理集团有限公司,"116.454562,39.919894"
储慧国际咨询,"116.454674,39.920065"
政采云,"120.087730,30.129580"
上海钢软,"121.603372,31.211702"
南方报业,"113.314623,23.122914"
宜搜,"113.937987,22.523392"
明略科技集团,"116.479717,39.995024"
仙度网络,"120.369678,30.303553"
前程无忧,"116.375121,39.908342"
MobTech,"121.417100,31.177394"
字节跳动,"121.387073,31.164877"
字节跳动,"116.369044,39.979578"
拉勾网,"116.307747,39.982128"
拉勾网,"116.307747,39.982128"
美团,"116.486622,40.008142"
美团,"116.486622,40.008142"
行云网,"120.246619,30.244956"
易观,"121.428240,31.217541"
琥珀创想,"116.414402,40.043555"
琥珀创想,"121.533705,38.862155"
微慕客（成都）科技有限公司,"104.081189,30.402185"
同花顺,"120.045424,30.291923"
爱奇艺,"116.444255,39.935321"
京东信息技术有限公司成都分公司,"103.977921,30.634156"
明略科技集团,"116.479717,39.995024"
仙度网络,"120.369678,30.303553"
中邮信息科技（北京）有限公司,"116.358753,39.900559"
平安金服,"114.107636,22.540466"
MobTech,"121.417100,31.177394"
广州游爱,"113.458786,23.171621"
无极慧通,"116.338474,39.972094"
奇迅新游,"113.944496,22.549213"
字节跳动,"121.387073,31.164877"
字节跳动,"116.328708,39.971819"
上海银科创展投资集团有限公司,"121.530276,31.221890"
百度,"116.273555,40.043482"
华资软件,"113.371350,23.126341"
飞书深诺,"121.417495,31.203651"
得物App,"121.530215,31.272333"
广发银行信用卡中心,"113.323120,23.121089"
前程无忧,"116.375121,39.908342"
六律科技,"116.380000,39.878750"
伊澳科技,"116.460558,39.949277"
仙潭酒业集团,"104.034257,30.607632"
储慧国际咨询,"116.454674,39.920065"
平安金服,"121.381215,31.220724"
字节跳动,"116.315437,39.983339"
字节跳动,"113.925762,22.511996"
我爱我家集团,"121.455979,31.186598"
跟谁学,"116.282935,40.048632"
飞书深诺,"121.417495,31.203651"
宜搜,"113.937987,22.523392"
ExceedData,"121.513412,31.258926"
拉勾网,"116.307747,39.982128"
行云网,"120.246619,30.244956"
美团,"116.486622,40.008142"
多牛传媒,"116.377066,40.035561"
达摩网络,"120.125105,30.277117"
优车库,"114.045254,22.507374"
上海联蔚信息科技有限公司,"118.785888,32.006767"
视野金融,"116.459370,39.916108"
百圣信息,"113.884020,22.555259"
快手,"116.298440,40.053389"
上海中软华腾软件系统有限公司,"113.933732,22.540490"
拉勾网,"116.307747,39.982128"
小鹅（小鹅通）,"113.943289,22.549041"
平安金服,"121.545101,31.236498"
马上消费,"106.500997,29.616449"
优贝在线,"116.417438,40.036447"
人人公司,"116.496989,39.976297"
易久批,"114.503246,30.556416"
深圳景同,"113.905316,22.568325"
盒子科技,"113.940802,22.523714"
同花顺,"120.045424,30.291923"
美团,"116.486622,40.008142"
美团,"116.486622,40.008142"
土工干,"113.566250,34.801063"
BBGAME,"113.318597,23.135331"
中科聚信,"120.471612,36.098016"
金可国际集团-品牌眼镜事业群,"121.329408,31.144522"
联想集团,"116.273572,40.046061"
阿里互动娱乐事业群,"113.342660,23.102707"
同花顺,"120.045424,30.291923"
中交兴路,"116.295054,40.049249"
哔哩哔哩,"121.505825,31.308350"
金山世游,"116.316186,40.047338"
富途,"113.943287,22.548245"
阿里互动娱乐事业群,"121.403280,31.173886"
理脉,"116.458782,39.918929"
赛博龙科技,"116.488413,40.000191"
磐恒科技,"116.436610,39.916105"
上海钢软,"121.603372,31.211702"
乐我无限,"116.536170,39.932032"
ExceedData,"121.513412,31.258926"
小米集团,"116.327961,40.045505"
乐我无限,"116.536170,39.932032"
懒人科技,"114.066304,22.519548"
广州游爱,"113.458786,23.171621"
路行通,"104.068031,30.552538"
路行通,"104.068031,30.552538"
保险师 · 微易信息科技,"119.993591,29.993662"
平安人寿,"114.069833,22.539332"
平安人寿,"116.315869,39.981125"
华飞数据,"113.004635,28.194808"
什么值得买,"116.300578,39.825481"
京东集团,"116.513019,39.797041"
好未来,"116.304036,39.975037"
ETU,"121.433260,31.205078"
储慧国际咨询,"116.454812,39.920432"
映客,"116.601144,39.948574"
乐元素游戏,"116.305583,39.981536"
储慧国际咨询,"116.454674,39.920065"
作业帮,"116.309874,40.042738"
OPPO,"113.943044,22.518785"
Aibee,"116.197522,40.068612"
CLPS,"113.333093,23.133492"
贝壳,"116.305611,40.040180"
上海游盾,"121.415506,31.237934"
成都卓杭,"104.068847,30.546195"
FOTILE方太,"121.450588,31.209415"
北鼎科技,"113.999379,22.588175"
贝壳,"116.306882,40.047659"
新明珠集团,"113.014427,22.957851"
北鼎科技,"113.999379,22.588175"
贝壳,"116.306882,40.047659"
新明珠集团,"113.014427,22.957851"
尔湾科技,"116.474814,40.021963"
八爪鱼,"113.942403,22.550771"
上海趣致,"121.550057,31.274428"
驰骛科技ChiefClouds,"121.402129,31.172082"
盈富斯,"113.941234,22.556626"
艾迪泰科,"116.299033,40.044532"
51公积金管家,"120.068048,30.291563"
广东顺德中山大学卡内基梅隆大学国际联合研究院,"113.319061,23.125473"
敦煌网,"116.338900,39.992318"
安徽省刀锋网络科技有限公司,"113.607043,34.806744"
金山办公软件,"116.337595,40.033279"
美团,"116.466485,39.995197"
美团,"116.486622,40.008142"
平安人寿,"114.055755,22.533344"
平安人寿,"114.055639,22.533181"
阿芙精油,"116.500284,39.988138"
谊品生鲜,"120.132296,30.323015"
移动通信,"116.432457,39.937195"
点众科技,"116.368056,39.980092"
点众科技,"116.368056,39.980092"
36氪,"116.477087,39.932260"
鲸鱼外教培优,"116.478810,39.988320"
鲸鱼外教培优,"116.498253,39.975407"
亿达信息,"113.939444,22.522611"
arvato China,"121.441973,31.280903"
亿达信息,"113.321230,23.105685"
顺联动力,"120.216493,30.211334"
顺联动力,"120.216493,30.211334"
参数,"113.297257,23.126712"
Helens,"113.911537,22.486094"
全球购骑士特权,"113.325949,23.147158"
触宝,"121.354889,31.159507"
融360,"116.312978,39.979691"
COGO开果,"116.454266,39.932996"
腾讯,"113.934494,22.522641"
腾讯,"113.934494,22.522641"
一条视频,"121.407124,31.169677"
盛业资本,"114.061547,22.528466"
二维火,"120.134335,30.295997"
转转,"116.360315,40.039775"
一面数据,"113.944830,22.537843"
来电科技,"113.946716,22.571945"
永辉金融,"106.480244,29.589561"
新东方,"116.317541,39.983431"
易车公司,"116.327323,39.938109"
盛业恒泰投资,"116.454562,39.919894"
天弘基金,"116.354000,39.918030"
美图公司,"116.338950,39.991880"
美团,"116.486622,40.008142"
美团,"116.486622,40.008142"
arvato China,"120.993464,30.994061"
钱大妈,"113.315529,23.073875"
储慧国际咨询,"116.454674,39.920065"
锐捷网络,"116.303255,39.908331"
加满分科技,"113.941133,22.543471"
中康资讯,"113.334874,23.125871"
光光网络,"116.313599,40.053902"
盛业恒泰投资,"116.454562,39.919894"
JoyCastle,"116.453971,39.932248"
网易,"113.321767,23.122699"
网易,"113.321767,23.122699"
包银消费金融,"116.425245,39.986888"
小鸡叫叫,"104.066554,30.555252"
算话智能科技有限公司,"121.297302,31.189954"
一零跃动,"116.630587,39.906973"
一手,"113.218307,23.130998"
途虎养车网,"121.395268,31.130000"
小赢科技,"121.481790,31.232590"
小赢科技,"121.481790,31.232590"
途虎养车网,"121.395268,31.130000"
Goat Games,"113.325949,23.147158"
爱奇艺,"116.313228,39.983752"
小赢科技,"121.481790,31.232590"
小赢科技,"121.481790,31.232590"
途虎养车网,"121.395268,31.130000"
Goat Games,"113.325949,23.147158"
爱奇艺,"116.313228,39.983752"
成都肆零肆,"104.041018,30.625682"
微创软件,"113.939444,22.522611"
唱吧-玩音乐，就上唱吧！,"116.601144,39.948574"
乐纯酸奶,"116.471041,39.899777"
建信金科,"113.373035,23.124171"
触宝,"121.354889,31.159507"
伴鱼口语,"116.378536,39.970753"
极光,"113.908469,22.550224"
奇客创想,"116.329519,39.972134"
SHEIN,"118.755582,31.974269"
